rating,stars,pitches,type,city,state
In Focus,5.10,3.0,1,Trad,Boulder,Colorado
Tractatus,5.11a,3.7,1,Sport,Canon City,Colorado
Relampago,5.10,3.1,1,Sport,Canon City,Colorado
DC Boy,5.11c/d,5.0,1,"Trad, Sport",Boulder,Colorado
Garrett's Revenge,5.11d,4.5,4,Sport,Golden,Colorado
Smooth Ride,V5,2.0,,Boulder,Boulder,Colorado
The Jitters,5.12c,2.9,1,Sport,Boulder,Colorado
Abbaye d'Orval,5.10b,3.5,1,"Trad, Sport",Estes Park Valley,Colorado
Punani,V7,4.8,,Boulder,Denver South,Colorado
Ironjohn,5.10d,3.1,1,Sport,Estes Park Valley,Colorado
The Scientist,5.11a/b,4.2,1,"Trad, Sport",Boulder,Colorado
Devil's Lake Revisited,5.7,3.0,1,Trad,Estes Park Valley,Colorado
Butterfly McQueens' Birthday,5.9+,2.0,1,TR,Denver South,Colorado
Blue Swift,5.9+ R,3.0,1,Trad,Lyons,Colorado
Shasta,5.10- R,2.7,3,Trad,Boulder,Colorado
"5.10 Crack aka ""Thin Fingers""",5.10a/b C1,3.6,1,"Trad, TR, Aid",Golden,Colorado
Office Girls Walk The Plank,5.12d,3.5,1,Trad,Boulder,Colorado
Conspiracy,V4,3.5,,Boulder,South Platte,Colorado
Singapore Sling,5.10b,4.3,2,Trad,Gunnison,Colorado
Truck Stop Crank,5.10d,3.0,1,"Sport, TR",Spanish Peaks,Colorado
Maiden,5.6,3.7,1,Trad,Vedauwoo,Wyoming
Quarterback,5.10b,3.2,1,Sport,Canon City,Colorado
Zendance,5.7 PG13,3.5,1,Sport,South Platte,Colorado
Verve,5.13c,4.4,1,"Sport, Chipped",Boulder,Colorado
Black Haul,5.10,3.3,1,"Trad, TR",Golden,Colorado
Plastic Prince,5.11c,3.6,1,Sport,Rifle,Colorado
Primal Cinema,5.11a,3.7,4,Sport,Boulder,Colorado
Bloody Corner,5.10c R,3.8,1,Sport,Rifle,Colorado
Nowhere Man,5.11b/c,3.0,1,Sport,Boulder,Colorado
Flash Dihedral (Rossiter Version?),5.8+,2.6,1,Trad,Boulder,Colorado
Crack Up,5.9+,2.7,1,Trad,Boulder,Colorado
Quest for Balance,5.11b,3.2,1,"Sport, TR",Boulder,Colorado
Litlle Kitten,5.10b/c,3.2,1,Sport,Golden,Colorado
Friendship Seven,5.11a,4.6,1,Sport,Estes Park Valley,Colorado
Stupid Igits,5.10,3.5,1,"Trad, Sport",Estes Park Valley,Colorado
Ned's Variation to Code Rainbow,5.9+,1.5,1,Trad,Estes Park Valley,Colorado
Ivory Tower,5.11a,3.4,1,Sport,Rifle,Colorado
